apnid,APPEAL_NOTIFIED_DATE,APPEAL_DEC_DATE,APPEAL_DECISION,APPEAL_TYPE
2315/13,10-07-2013,18-10-2013,GRANT PERMISSION,Written Evidence
WEB1045/13,20-05-2013,19-09-2013,GRANT PERMISSION,Written Evidence
WEB1048/13,27-05-2013,08-07-2013,APPEAL DISMISSED,Written Evidence
2327/13,15-08-2013,20-12-2013,REMOVE CONDITIONS,Written Evidence
2339/13,06-01-2014,12-06-2014,GRANT PERMISSION,Written Evidence
2342/13,13-06-2013,22-10-2013,GRANT PERMISSION,Written Evidence
2346/13,05-06-2013,30-09-2013,AMEND CONDITIONS,Written Evidence
2344/13,11-06-2013,10-10-2013,GRANT PERMISSION,Written Evidence
2355/13,11-06-2013,10-09-2013,AMEND CONDITIONS,Written Evidence
2371/13,12-06-2013,24-09-2013,REFUSE PERMISSION,Written Evidence
2391/13,12-06-2013,08-10-2013,REFUSE PERMISSION,Written Evidence
2401/13,14-01-2014,12-06-2014,GRANT PERMISSION,Written Evidence
WEB1071/13,25-06-2013,25-10-2013,GRANT PERMISSION,Written Evidence
2420/13,25-06-2013,21-10-2013,AMEND CONDITIONS,Written Evidence
WEB1073/13,17-06-2013,05-09-2013,REFUSE PERMISSION,Written Evidence
2439/13,01-07-2013,25-10-2013,GRANT PERMISSION,Written Evidence
WEB1082/13,05-07-2013,31-10-2013,GRANT PERMISSION,Written Evidence
2483/13,10-07-2013,12-11-2013,GRANT PERMISSION,Written Evidence
2482/13,08-07-2013,09-04-2014,APPEAL WITHDRAWN,Written Evidence
2490/13,10-07-2013,07-11-2013,SPLIT DECISION,Written Evidence
2526/13,10-09-2013,12-12-2013,GRANT PERMISSION,Written Evidence
2528/13,17-07-2013,19-11-2013,GRANT PERMISSION,Written Evidence
2538/13,17-07-2013,22-10-2013,REMOVE CONDITIONS,Written Evidence
2539/13,23-07-2013,26-11-2013,ATTACH CONDITIONS,Written Evidence
2533/13,19-07-2013,20-11-2013,GRANT PERMISSION,Written Evidence
2548/13,23-07-2013,20-11-2013,REFUSE PERMISSION,Written Evidence
2555/13,19-12-2013,30-04-2014,AMEND CONDITIONS,Written Evidence
2553/13,19-07-2013,31-10-2013,REFUSE PERMISSION,Written Evidence
2577/13,23-07-2013,18-10-2013,REMOVE CONDITIONS,Written Evidence
2576/13,27-08-2013,16-01-2014,GRANT PERMISSION,Written Evidence
2586/13,30-07-2013,04-12-2013,GRANT PERMISSION,Written Evidence
2605/13,23-09-2013,14-03-2014,GRANT PERMISSION,Written Evidence
WEB1120/13,29-07-2013,16-10-2013,REMOVE CONDITIONS,Written Evidence
2615/13,19-09-2013,23-01-2014,GRANT PERMISSION,Written Evidence
2639/13,01-08-2013,24-10-2013,GRANT PERMISSION,Written Evidence
2653/13,13-09-2013,28-01-2014,GRANT PERMISSION,Written Evidence
2664/13,19-08-2013,22-01-2014,REFUSE PERMISSION,Written Evidence
WEB1137/13,16-08-2013,04-12-2013,AMEND CONDITIONS,Written Evidence
WEB1141/13,19-08-2013,07-11-2013,GRANT PERMISSION,Written Evidence
2684/13,05-02-2014,28-05-2014,GRANT PERMISSION,Written Evidence
2696/13,10-12-2013,11-09-2014,GRANT PERMISSION,Written Evidence
2703/13,16-12-2013,19-05-2014,SPLIT DECISION,Written Evidence
2706/13,22-08-2013,27-11-2013,REMOVE CONDITIONS,Written Evidence
2719/13,10-12-2013,22-04-2014,AMEND CONDITIONS,Written Evidence
WEB1146/13,31-10-2013,21-02-2014,GRANT PERMISSION,Written Evidence
2731/13,23-08-2013,16-12-2013,REFUSE PERMISSION,Written Evidence
WEB1149/13,26-08-2013,16-12-2013,GRANT PERMISSION,Written Evidence
2746/13,22-08-2013,11-12-2013,REFUSE PERMISSION,Written Evidence
2743/13,28-08-2013,08-01-2014,GRANT PERMISSION,Written Evidence
2763/13,27-08-2013,12-12-2013,GRANT PERMISSION,Written Evidence
2764/13,28-08-2013,31-12-2013,GRANT PERMISSION,Written Evidence
2785/13,03-03-2014,08-08-2014,AMEND CONDITIONS,Written Evidence
2795/13,05-09-2013,16-01-2014,AMEND CONDITIONS,Written Evidence
2798/13,10-09-2013,17-01-2014,GRANT PERMISSION,Written Evidence
2808/13,06-09-2013,11-10-2013,APPEAL DECLARED INVALID,Written Evidence
2812/13,04-09-2013,19-12-2013,GRANT PERMISSION,Written Evidence
2828/13,21-03-2014,15-07-2014,GRANT PERMISSION,Written Evidence
2832/13,02-12-2013,31-03-2014,GRANT PERMISSION,Written Evidence
2845/13,08-11-2013,20-03-2014,REFUSE PERMISSION,Written Evidence
2871/13,25-09-2013,04-02-2014,GRANT PERMISSION,Written Evidence
2873/13,30-08-2013,06-01-2014,REMOVE CONDITIONS,Written Evidence
2876/13,27-09-2013,31-01-2014,GRANT PERMISSION,Written Evidence
WEB1162/13,30-09-2013,10-02-2014,GRANT PERMISSION,Written Evidence
WEB1170/13,27-09-2013,24-01-2014,AMEND CONDITIONS,Written Evidence
2916/13,06-12-2013,23-04-2014,GRANT PERMISSION,Written Evidence
2931/13,01-10-2013,08-01-2014,GRANT PERMISSION,Written Evidence
2964/13,07-11-2013,25-02-2014,GRANT PERMISSION,Written Evidence
2971/13,10-10-2013,11-02-2014,GRANT PERMISSION,Written Evidence
2972/13,09-10-2013,14-10-2013,APPEAL DECLARED INVALID,Written Evidence
3003/13,22-10-2013,21-01-2014,REFUSE PERMISSION,Written Evidence
3008/13,13-03-2014,18-07-2014,REFUSE PERMISSION,Written Evidence
3012/13,22-10-2013,20-02-2014,GRANT PERMISSION,Written Evidence
3022/13,11-10-2013,20-11-2013,REMOVE CONDITIONS,Written Evidence
3023/13,24-04-2014,19-01-2015,REFUSE PERMISSION,Written Evidence
3027/13,23-10-2013,15-01-2014,REFUSE PERMISSION,Written Evidence
3034/13,29-04-2014,01-05-2014,APPEAL WITHDRAWN,Written Evidence
3038/13,23-10-2013,03-02-2014,GRANT PERMISSION,Written Evidence
3044/13,10-12-2013,26-03-2014,GRANT PERMISSION,Written Evidence
3055/13,25-10-2013,14-02-2014,REFUSE PERMISSION,Written Evidence
3060/13,24-10-2013,06-03-2014,REFUSE PERMISSION,Written Evidence
3065/13,22-10-2013,25-02-2014,GRANT PERMISSION,Written Evidence
3067/13,16-05-2014,16-09-2014,GRANT PERMISSION,Written Evidence
3086/13,06-11-2013,18-03-2014,GRANT PERMISSION,Written Evidence
WEB1192/13,07-11-2013,04-03-2014,GRANT PERMISSION,Written Evidence
3098/13,04-11-2013,10-03-2014,SPLIT DECISION,Written Evidence
3104/13,04-11-2013,14-03-2014,GRANT PERMISSION,Written Evidence
3117/13,11-11-2013,18-03-2014,REFUSE PERMISSION,Written Evidence
3134/13,14-11-2013,25-03-2014,REFUSE PERMISSION,Written Evidence
3144/13,11-12-2013,31-03-2014,GRANT PERMISSION,Written Evidence
3147/13,06-11-2013,14-03-2014,REFUSE PERMISSION,Written Evidence
3151/13,14-11-2013,07-04-2014,REMOVE CONDITIONS,Written Evidence
3153/13,12-11-2013,31-03-2014,GRANT PERMISSION,Written Evidence
3155/13,24-04-2014,18-08-2014,GRANT PERMISSION,Written Evidence
3156/13,06-02-2014,13-05-2014,GRANT PERMISSION,Written Evidence
3168/13,20-11-2013,31-03-2014,REFUSE PERMISSION,Written Evidence
3181/13,25-11-2013,13-03-2014,GRANT PERMISSION,Written Evidence
3182/13,15-11-2013,25-02-2014,AMEND CONDITIONS,Written Evidence
3187/13,22-11-2013,05-03-2014,GRANT PERMISSION,Written Evidence
3188/13,10-06-2014,13-10-2014,GRANT PERMISSION,Written Evidence
3193/13,NULL,NULL,NULL,NULL
3215/13,15-11-2013,21-02-2014,GRANT PERMISSION,Written Evidence
3246/13,09-12-2013,25-06-2014,GRANT PERMISSION,Written Evidence
3265/13,09-12-2013,28-04-2014,GRANT PERMISSION,Written Evidence
3271/13,11-12-2013,21-03-2014,GRANT PERMISSION,Written Evidence
3273/13,09-12-2013,02-04-2014,REFUSE PERMISSION,Written Evidence
3293/13,13-12-2013,31-03-2014,GRANT PERMISSION,Written Evidence
3301/13,13-12-2013,09-04-2014,REFUSE PERMISSION,Written Evidence
3313/13,20-12-2013,07-05-2014,AMEND CONDITIONS,Written Evidence
3312/13,16-12-2013,07-07-2014,GRANT PERMISSION,Written Evidence
3316/13,17-02-2014,01-08-2014,GRANT PERMISSION,Written Evidence
3327/13,23-12-2013,14-03-2014,AMEND CONDITIONS,Written Evidence
3345/13,18-12-2013,29-04-2014,REFUSE PERMISSION,Written Evidence
WEB1240/13,23-12-2013,15-05-2014,REFUSE PERMISSION,Written Evidence
3362/13,19-12-2013,29-04-2014,GRANT PERMISSION,Written Evidence
3368/13,20-12-2013,22-04-2014,REFUSE PERMISSION,Written Evidence
3372/13,20-12-2013,24-04-2014,GRANT PERMISSION,Written Evidence
3386/13,14-01-2014,19-03-2014,GRANT PERMISSION,Written Evidence
3394/13,30-04-2014,29-08-2014,REFUSE PERMISSION,Written Evidence
3403/13,20-03-2014,20-06-2014,REFUSE PERMISSION,Written Evidence
3425/13,17-01-2014,19-05-2014,GRANT PERMISSION,Written Evidence
3427/13,17-01-2014,12-05-2014,REFUSE PERMISSION,Written Evidence
3434/13,23-01-2014,21-05-2014,REFUSE OUTLINE PERMISSION,Written Evidence
3435/13,17-01-2014,13-05-2014,GRANT PERMISSION,Written Evidence
3437/13,21-01-2014,14-05-2014,GRANT PERMISSION,Written Evidence
3443/13,14-01-2014,11-02-2014,APPLICATION WITHDRAWN,Written Evidence
3459/13,24-01-2014,26-05-2014,REFUSE PERMISSION,Written Evidence
3470/13,21-01-2014,15-05-2014,GRANT PERMISSION,Written Evidence
3484/13,17-01-2014,20-05-2014,GRANT PERMISSION,Written Evidence
WEB1253/13,17-01-2014,20-05-2014,GRANT PERMISSION,Written Evidence
3497/13,29-01-2014,04-06-2014,AMEND CONDITIONS,Written Evidence
3504/13,20-01-2014,06-05-2014,AMEND CONDITIONS,Written Evidence
WEB1258/13,24-01-2014,23-05-2014,SPLIT DECISION,Written Evidence
3517/13,11-08-2014,09-12-2014,REFUSE PERMISSION,Written Evidence
3524/13,07-02-2014,22-05-2014,REFUSE PERMISSION,Written Evidence
3543/13,24-01-2014,27-05-2014,REFUSE PERMISSION,Written Evidence
3546/13,14-07-2014,08-10-2014,GRANT PERMISSION,Written Evidence
3548/13,13-02-2014,13-06-2014,ATTACH CONDITIONS,Written Evidence
3562/13,14-02-2013,10-06-2014,GRANT PERMISSION,Written Evidence
WEB1270/13,24-04-2014,13-08-2014,REFUSE PERMISSION,Written Evidence
3572/13,20-02-2014,30-05-2014,GRANT PERMISSION,Written Evidence
3571/13,14-07-2014,06-11-2014,GRANT PERMISSION,Written Evidence
3575/13,13-08-2014,06-01-2015,SPLIT DECISION,Written Evidence
3581/13,19-02-2014,09-06-2014,GRANT PERMISSION,Written Evidence
3590/13,20-02-2014,10-06-2014,GRANT PERMISSION,Written Evidence
3595/13,17-02-2014,16-05-2014,APPEAL WITHDRAWN,Written Evidence
3602/13,16-05-2014,08-08-2014,GRANT PERMISSION,Written Evidence
3609/13,25-02-2014,16-06-2014,GRANT PERMISSION,Written Evidence
3624/13,27-02-2014,24-04-2014,APPEAL WITHDRAWN,Written Evidence
3619/13,12-06-2014,08-10-2014,SPLIT DECISION,Written Evidence
3640/13,29-04-2014,20-08-2014,REFUSE PERMISSION,Written Evidence
3642/13,04-03-2014,24-06-2014,REFUSE PERMISSION,Written Evidence
3661/13,05-03-2014,27-06-2014,AMEND CONDITIONS,Written Evidence
3662/13,11-03-2014,09-06-2014,REFUSE PERMISSION,Written Evidence
3670/13,13-03-2014,24-07-2014,REMOVE CONDITIONS,Written Evidence
3672/13,28-05-2014,22-09-2014,GRANT PERMISSION,Written Evidence
3675/13,06-03-2014,23-06-2014,REFUSE PERMISSION,Written Evidence
3684/13,01-05-2014,26-08-2014,GRANT PERMISSION,Written Evidence
3685/13,06-10-2014,12-02-2015,GRANT RETENTION PERMISSION,Written Evidence
3703/13,20-03-2014,17-07-2014,GRANT PERMISSION,Written Evidence
WEB1290/13,20-03-2014,26-06-2014,REMOVE CONDITIONS,Written Evidence
WEB1293/13,21-03-2014,10-07-2014,AMEND CONDITIONS,Written Evidence
WEB1296/13,06-03-2014,30-06-2014,AMEND CONDITIONS,Written Evidence
WEB1300/13,25-03-2014,24-07-2014,GRANT PERMISSION,Written Evidence
3734/13,15-08-2014,15-12-2014,GRANT PERMISSION,Written Evidence
3745/13,05-03-2014,19-06-2014,GRANT PERMISSION,Written Evidence
3741/13,21-03-2014,09-05-2014,APPEAL DECLARED INVALID,Written Evidence
3744/13,14-03-2014,18-07-2014,GRANT PERMISSION,Written Evidence
3773/13,09-07-2014,17-10-2014,GRANT PERMISSION,Written Evidence
2007/14,13-05-2014,10-09-2014,GRANT PERMISSION,Written Evidence
3789/13,26-03-2014,20-05-2014,APPEAL WITHDRAWN,Written Evidence
3796/13,10-10-2014,18-02-2015,GRANT PERMISSION,Written Evidence
3792/13,28-03-2014,30-07-2014,GRANT PERMISSION,Written Evidence
2014/14,25-03-2014,27-06-2014,REFUSE PERMISSION,Written Evidence
2023/14,01-04-2014,04-07-2014,REFUSE PERMISSION,Written Evidence
WEB1005/14,24-03-2014,04-07-2014,GRANT PERMISSION,Written Evidence
2043/14,20-05-2014,20-08-2014,GRANT PERMISSION,Written Evidence
2056/14,31-03-2014,03-06-2014,GRANT PERMISSION,Written Evidence
2052/14,09-04-2014,08-08-2014,GRANT PERMISSION,Written Evidence
2053/14,09-04-2014,31-07-2014,REFUSE PERMISSION,Written Evidence
WEB1006/14,26-03-2014,30-06-2014,SPLIT DECISION,Written Evidence
2074/14,23-06-2014,24-09-2014,GRANT PERMISSION,Written Evidence
2091/14,14-04-2014,07-08-2014,REFUSE PERMISSION,Written Evidence
2093/14,20-05-2014,01-09-2014,GRANT PERMISSION,Written Evidence
2096/14,12-08-2014,03-12-2014,GRANT PERMISSION,Written Evidence
2102/14,23-06-2014,16-10-2014,GRANT PERMISSION,Written Evidence
2117/14,22-08-2014,22-12-2014,REFUSE PERMISSION,Written Evidence
2137/14,10-06-2014,07-10-2014,REFUSE PERMISSION,Written Evidence
WEB1018/14,24-04-2014,12-08-2014,REMOVE CONDITIONS,Written Evidence
2141/14,29-04-2014,20-08-2014,REMOVE CONDITIONS,Written Evidence
2144/14,30-04-2014,08-08-2014,REFUSE PERMISSION,Written Evidence
2161/14,25-04-2014,07-08-2014,GRANT PERMISSION,Written Evidence
2179/14,29-04-2014,29-07-2014,REFUSE PERMISSION,Written Evidence
2213/14,08-05-2014,02-09-2014,REFUSE PERMISSION,Written Evidence
2217/14,01-05-2014,01-09-2014,GRANT PERMISSION,Written Evidence
2223/14,08-05-2014,31-07-2014,GRANT PERMISSION,Written Evidence
2239/14,23-07-2014,30-10-2014,GRANT PERMISSION,Written Evidence
2237/14,07-05-2014,01-09-2014,AMEND CONDITIONS,Written Evidence
2245/14,13-05-2014,22-12-2014,GRANT PERMISSION,Written Evidence
2263/14,19-05-2014,22-08-2014,GRANT PERMISSION,Written Evidence
WEB1031/14,14-05-2014,05-09-2014,REFUSE PERMISSION,Written Evidence
2266/14,11-08-2014,02-12-2014,GRANT PERMISSION,Written Evidence
2271/14,18-07-2014,22-10-2014,GRANT PERMISSION,Written Evidence
2286/14,30-07-2014,01-12-2014,GRANT RETENTION PERMISSION,Written Evidence
2293/14,09-05-2014,05-09-2014,REMOVE CONDITIONS,Written Evidence
2315/14,22-05-2014,17-09-2014,GRANT PERMISSION,Written Evidence
2322/14,22-05-2014,08-09-2014,GRANT PERMISSION,Written Evidence
2327/14,21-05-2014,09-09-2014,GRANT PERMISSION,Written Evidence
2336/14,23-12-2014,17-04-2015,GRANT PERMISSION,Written Evidence
2340/14,23-05-2014,23-09-2014,GRANT RETENTION PERMISSION,Written Evidence
2348/14,03-06-2014,24-09-2014,GRANT PERMISSION,Written Evidence
2352/14,05-06-2014,16-09-2014,GRANT PERMISSION,Written Evidence
2353/14,19-12-2014,27-04-2015,GRANT PERMISSION,Written Evidence
2370/14,29-05-2014,09-09-2014,GRANT PERMISSION,Written Evidence
2378/14,06-06-2014,02-07-2014,LEAVE TO APPEAL REFUSED,Written Evidence
2402/14,09-06-2014,06-10-2014,GRANT PERMISSION,Written Evidence
2397/14,12-06-2014,13-10-2014,REFUSE PERMISSION,Written Evidence
WEB1057/14,11-06-2014,09-10-2014,GRANT PERMISSION,Written Evidence
2407/14,12-08-2014,08-12-2014,GRANT PERMISSION,Written Evidence
2411/14,13-06-2014,24-09-2014,GRANT PERMISSION,Written Evidence
2423/14,15-09-2014,06-02-2015,REFUSE PERMISSION,Written Evidence
2435/14,14-08-2014,17-12-2014,GRANT PERMISSION,Written Evidence
2446/14,10-06-2014,07-10-2014,REFUSE PERMISSION,Written Evidence
2445/14,17-06-2014,21-08-2014,GRANT PERMISSION,Written Evidence
2454/14,02-01-2015,27-04-2015,GRANT PERMISSION,Written Evidence
2459/14,20-06-2014,09-10-2014,GRANT PERMISSION,Written Evidence
2479/14,01-08-2014,06-11-2014,GRANT PERMISSION,Written Evidence
2513/14,30-06-2014,09-10-2014,REMOVE CONDITIONS,Written Evidence
2525/14,02-07-2014,30-10-2014,REFUSE PERMISSION,Written Evidence
2526/14,02-07-2014,20-10-2014,GRANT PERMISSION,Written Evidence
2528/14,29-09-2014,05-02-2015,GRANT PERMISSION,Written Evidence
2533/14,11-08-2014,14-01-2015,GRANT PERMISSION,Written Evidence
2534/14,09-07-2014,07-10-2014,REFUSE PERMISSION,Written Evidence
2537/14,04-07-2014,31-10-2014,GRANT PERMISSION,Written Evidence
WEB1092/14,01-07-2014,22-10-2014,REFUSE PERMISSION,Written Evidence
2547/14,09-07-2014,28-10-2014,REFUSE RETENTION PERMISSION,Written Evidence
2550/14,03-07-2014,05-11-2014,GRANT PERMISSION,Written Evidence
WEB1093/14,08-07-2014,05-11-2014,GRANT PERMISSION,Written Evidence
2565/14,14-08-2014,15-12-2014,GRANT PERMISSION,Written Evidence
2575/14,15-07-2014,06-11-2014,GRANT PERMISSION,Written Evidence
2582/14,20-10-2014,26-02-2015,REFUSE PERMISSION,Written Evidence
2588/14,11-07-2014,13-10-2014,REMOVE CONDITIONS,Written Evidence
2596/14,16-07-2014,12-11-2014,GRANT PERMISSION,Written Evidence
WEB1109/14,23-07-2014,06-11-2014,AMEND CONDITIONS,Written Evidence
2639/14,21-07-2014,18-11-2014,GRANT PERMISSION,Written Evidence
2646/14,11-07-2014,04-11-2014,GRANT PERMISSION,Written Evidence
2651/14,28-07-2014,19-11-2014,GRANT PERMISSION,Written Evidence
2653/14,31-07-2014,21-10-2014,GRANT PERMISSION,Written Evidence
WEB1132/14,25-07-2014,14-10-2014,GRANT PERMISSION,Written Evidence
WEB1139/14,31-07-2014,28-11-2014,AMEND CONDITIONS,Written Evidence
2682/14,11-08-2014,30-10-2014,REFUSE PERMISSION,Written Evidence
2710/14,15-01-2015,18-05-2015,GRANT PERMISSION,Written Evidence
2720/14,13-08-2014,22-12-2014,REFUSE PERMISSION,Written Evidence
2714/14,06-08-2014,18-11-2014,GRANT PERMISSION,Written Evidence
2729/14,NULL,15-08-2014,APPEAL DECLARED INVALID,Written Evidence
2732/14,18-08-2014,08-12-2014,ATTACH CONDITIONS,Written Evidence
2736/14,18-08-2014,09-12-2014,GRANT PERMISSION,Written Evidence
2744/14,03-12-2014,18-03-2015,GRANT PERMISSION,Written Evidence
2740/14,11-08-2014,11-12-2014,GRANT PERMISSION,Written Evidence
2748/14,11-08-2014,10-12-2014,GRANT PERMISSION,Written Evidence
2759/14,22-08-2014,25-09-2014,APPEAL WITHDRAWN,Written Evidence
2767/14,23-10-2014,02-03-2015,GRANT PERMISSION,Written Evidence
2773/14,26-08-2014,08-01-2015,GRANT PERMISSION,Written Evidence
2774/14,16-03-2015,07-07-2015,APPLICATION WITHDRAWN,Written Evidence
2775/14,27-08-2014,28-11-2014,REFUSE PERMISSION,Written Evidence
2796/14,29-09-2014,04-02-2015,GRANT PERMISSION,Written Evidence
2820/14,27-11-2014,13-04-2015,REFUSE PERMISSION,Written Evidence
2834/14,29-08-2014,05-12-2014,GRANT PERMISSION,Written Evidence
2836/14,27-08-2014,23-12-2014,GRANT RETENTION PERMISSION,Written Evidence
2844/14,29-08-2014,12-01-2015,SPLIT DECISION,Written Evidence
2846/14,27-08-2014,08-12-2014,REFUSE PERMISSION,Written Evidence
2871/14,29-08-2014,12-01-2015,GRANT PERMISSION,Written Evidence
2887/14,03-09-2014,13-01-2015,REFUSE PERMISSION,Written Evidence
2888/14,03-09-2014,08-12-2014,REFUSE PERMISSION,Written Evidence
2882/14,08-09-2014,12-01-2015,REFUSE OUTLINE PERMISSION,Written Evidence
2891/14,30-10-2014,27-02-2015,REFUSE PERMISSION,Written Evidence
2898/14,09-09-2014,30-12-2014,GRANT PERMISSION,Written Evidence
2901/14,03-10-2014,04-03-2015,GRANT PERMISSION,Written Evidence
2908/14,29-08-2014,23-12-2014,REFUSE PERMISSION,Written Evidence
2911/14,28-08-2014,18-12-2014,REFUSE PERMISSION,Written Evidence
2919/14,21-10-2014,23-02-2015,REMOVE CONDITIONS,Written Evidence
2925/14,09-09-2014,19-01-2015,GRANT PERMISSION,Written Evidence
2950/14,09-09-2014,19-01-2015,REFUSE PERMISSION,Written Evidence
WEB1186/14,17-09-2014,22-01-2015,GRANT PERMISSION,Written Evidence
2963/14,17-09-2014,10-12-2014,REFUSE PERMISSION,Written Evidence
2977/14,22-09-2014,29-01-2015,GRANT RETENTION PERMISSION,Written Evidence
2984/14,25-09-2014,21-10-2014,APPEAL WITHDRAWN,Written Evidence
2990/14,17-02-2015,09-07-2015,GRANT PERMISSION,Written Evidence
2992/14,25-09-2014,03-02-2015,GRANT PERMISSION,Written Evidence
3012/14,22-09-2014,16-10-2014,APPEAL WITHDRAWN,Written Evidence
3024/14,26-09-2014,15-01-2015,REFUSE PERMISSION,Written Evidence
3023/14,26-09-2014,05-02-2015,REFUSE PERMISSION,Written Evidence
3026/14,26-09-2014,06-02-2015,GRANT PERMISSION,Written Evidence
3020/14,03-12-2014,06-03-2015,REMOVE CONDITIONS,Written Evidence
3029/14,17-09-2014,28-01-2015,GRANT PERMISSION,Written Evidence
3033/14,30-09-2014,28-01-2015,REMOVE CONDITIONS,Written Evidence
3043/14,22-09-2014,08-01-2015,APPEAL WITHDRAWN,Written Evidence
3044/14,30-09-2014,09-02-2015,GRANT RETENTION PERMISSION,Written Evidence
3046/14,25-09-2014,30-01-2015,REFUSE PERMISSION,Written Evidence
3052/14,23-02-2015,14-09-2015,GRANT PERMISSION,Written Evidence
WEB1196/14,30-09-2014,10-02-2015,AMEND CONDITIONS,Written Evidence
3053/14,26-09-2014,16-02-2015,GRANT PERMISSION,Written Evidence
3068/14,06-10-2014,06-02-2015,REFUSE PERMISSION,Written Evidence
3069/14,08-12-2014,12-02-2015,APPEAL WITHDRAWN,Written Evidence
3091/14,08-10-2014,18-02-2015,GRANT PERMISSION,Written Evidence
3103/14,08-10-2014,11-02-2015,GRANT PERMISSION,Written Evidence
3118/14,13-03-2015,05-06-2015,GRANT PERMISSION,Written Evidence
3120/14,15-10-2014,20-02-2015,REFUSE PERMISSION,Written Evidence
3126/14,23-04-2015,31-08-2015,REFUSE PERMISSION,Written Evidence
3128/14,09-01-2015,13-05-2015,APPEAL WITHDRAWN,Written Evidence
WEB1206/14,11-11-2014,12-03-2015,GRANT PERMISSION,Written Evidence
3136/14,13-10-2014,23-02-2015,REMOVE CONDITIONS,Written Evidence
3143/14,30-03-2015,29-07-2015,GRANT PERMISSION,Written Evidence
WEB1207/14,17-10-2014,30-01-2015,AMEND CONDITIONS,Written Evidence
3164/14,22-01-2015,14-05-2015,AMEND CONDITIONS,Written Evidence
3190/14,21-10-2014,03-03-2015,REFUSE PERMISSION,Written Evidence
3195/14,30-07-2015,19-11-2015,GRANT PERMISSION,Written Evidence
3210/14,21-10-2014,10-03-2015,GRANT PERMISSION,Written Evidence
3234/14,31-10-2014,28-01-2015,REMOVE CONDITIONS,Written Evidence
3239/14,28-10-2014,03-03-2015,APPLICATION WITHDRAWN,Written Evidence
3248/14,07-11-2014,12-03-2015,GRANT PERMISSION,Written Evidence
3254/14,30-10-2014,10-03-2015,REFUSE PERMISSION,Written Evidence
3266/14,03-11-2014,20-03-2015,GRANT PERMISSION,Written Evidence
3270/14,06-11-2014,12-02-2015,REFUSE PERMISSION,Written Evidence
3283/14,14-11-2014,18-03-2015,GRANT PERMISSION,Written Evidence
3287/14,11-11-2014,18-03-2015,GRANT PERMISSION,Written Evidence
3306/14,11-11-2014,09-03-2015,GRANT PERMISSION,Written Evidence
3314/14,18-11-2014,09-03-2015,SPLIT DECISION,Written Evidence
3318/14,24-11-2014,23-04-2015,REFUSE PERMISSION,Written Evidence
3336/14,20-11-2014,30-03-2015,GRANT PERMISSION,Written Evidence
3342/14,21-11-2014,31-03-2015,GRANT PERMISSION,Written Evidence
3345/14,19-11-2014,23-03-2015,REFUSE PERMISSION,Written Evidence
3352/14,27-04-2015,18-08-2015,GRANT PERMISSION,Written Evidence
3353/14,12-02-2015,16-06-2015,GRANT PERMISSION,Written Evidence
3358/14,27-11-2014,02-04-2015,REFUSE PERMISSION,Written Evidence
3366/14,01-12-2014,01-07-2015,GRANT PERMISSION,Written Evidence
3368/14,13-04-2015,12-08-2015,GRANT PERMISSION,Written Evidence
3375/14,27-11-2014,27-03-2015,REFUSE PERMISSION,Written Evidence
3380/14,19-01-2015,27-01-2015,APPEAL WITHDRAWN,Written Evidence
3379/14,01-12-2014,18-03-2015,APPEAL WITHDRAWN,Written Evidence
3383/14,13-03-2015,14-07-2015,REFUSE PERMISSION,Written Evidence
3394/14,12-12-2014,21-04-2015,GRANT PERMISSION,Written Evidence
3401/14,10-12-2014,14-01-2015,LEAVE TO APPEAL REFUSED,Leave to Appeal
3408/14,03-12-2014,27-02-2015,GRANT PERMISSION,Written Evidence
3428/14,12-12-2014,07-05-2015,AMEND CONDITIONS,Written Evidence
3438/14,12-12-2014,27-04-2015,GRANT PERMISSION,Written Evidence
3454/14,06-01-2015,05-05-2015,SPLIT DECISION,Written Evidence
3475/14,28-04-2015,04-09-2015,GRANT PERMISSION,Written Evidence
3480/14,09-02-2015,11-06-2015,GRANT PERMISSION,Written Evidence
3479/14,02-01-2015,06-05-2015,GRANT PERMISSION,Written Evidence
3486/14,01-04-2015,10-07-2015,AMEND CONDITIONS,Written Evidence
3490/14,02-01-2015,06-05-2015,REMOVE CONDITIONS,Written Evidence
3493/14,01-12-2014,13-03-2015,GRANT PERMISSION,Written Evidence
3497/14,27-04-2015,23-07-2015,GRANT PERMISSION,Written Evidence
3502/14,23-12-2014,28-04-2015,GRANT PERMISSION,Written Evidence
3532/14,12-02-2015,09-06-2015,GRANT PERMISSION,Written Evidence
3548/14,15-01-2015,07-05-2015,AMEND CONDITIONS,Written Evidence
3551/14,15-01-2015,21-05-2015,GRANT RETENTION PERMISSION,Written Evidence
3566/14,23-01-2015,21-05-2015,SPLIT DECISION,Written Evidence
3584/14,22-01-2015,13-05-2015,REFUSE PERMISSION,Written Evidence
3588/14,02-03-2015,22-04-2015,REMOVE CONDITIONS,Written Evidence
3583/14,22-01-2015,25-05-2015,REFUSE PERMISSION,Written Evidence
3590/14,27-04-2015,12-08-2015,GRANT PERMISSION,Written Evidence
WEB1285/14,20-02-2015,23-04-2015,GRANT PERMISSION,Written Evidence
3597/14,19-03-2015,15-06-2015,GRANT PERMISSION,Written Evidence
3605/14,15-01-2015,12-05-2015,GRANT PERMISSION,Written Evidence
3608/14,15-01-2015,08-05-2015,REFUSE PERMISSION,Written Evidence
